region,province,commune,compop2015,tauxaccess
CASCADES,COMOE,BANFORA,51164,75.43976233
CASCADES,COMOE,BEREGADOUGOU,9779,42.70375294
CASCADES,COMOE,MANGODARA,78185,48.74208608
CASCADES,COMOE,MOUSSODOUGOU,15746,57.70354376
CASCADES,COMOE,NIANGOLOKO,48045,53.79956291
CASCADES,COMOE,OUO,35482,61.11831351
CASCADES,COMOE,SIDERADOUGOU,113775,48.14678093
CASCADES,COMOE,SOUBAKANIEDOUGOU,42369,60.1713517
CASCADES,COMOE,TIEFORA,67107,44.41861505
CASCADES,LERABA,DAKORO,19967,54.58506536
CASCADES,LERABA,DOUNA,13648,84.97215709
CASCADES,LERABA,KANKALABA,14697,67.17017078
CASCADES,LERABA,LOUMANA,36607,63.41683285
CASCADES,LERABA,NIANKORODOUGOU,51526,55.2264876
CASCADES,LERABA,OUELENI,17753,69.70652847
CASCADES,LERABA,SINDOU,20326,43.17130768
CASCADES,LERABA,WOLONKOTO,5737,56.52780199
CENTRE-EST,BOULGOU,BAGRE,34729,76.55849578
CENTRE-EST,BOULGOU,BANE,28242,79.85270165
CENTRE-EST,BOULGOU,BEGUEDO,22808,98.14977201
CENTRE-EST,BOULGOU,BISSIGA,24998,79.61036883
CENTRE-EST,BOULGOU,BITTOU,62143,42.01277698
CENTRE-EST,BOULGOU,BOUSSOUMA GARANGO,31860,89.25612053
CENTRE-EST,BOULGOU,GARANGO,46042,84.28608662
CENTRE-EST,BOULGOU,KOMTOEGA,24618,95.75513852
CENTRE-EST,BOULGOU,NIAOGO,22598,89.47251969
CENTRE-EST,BOULGOU,TENKODOGO,95980,77.06292978
CENTRE-EST,BOULGOU,ZABRE,81004,72.74332132
CENTRE-EST,BOULGOU,ZOAGA,12879,80.34008852
CENTRE-EST,BOULGOU,ZONSE,23632,72.54570074
CENTRE-EST,KOULPELOGO,COMIN-YANGA,48627,61.70645937
CENTRE-EST,KOULPELOGO,DOURTENGA,10663,81.70308544
CENTRE-EST,KOULPELOGO,LALGAYE,17984,74.18260676
CENTRE-EST,KOULPELOGO,OUARGAYE,38895,27.15773236
CENTRE-EST,KOULPELOGO,SANGA,47621,60.3536255
CENTRE-EST,KOULPELOGO,SOUDOUGUI,55274,47.79824149
CENTRE-EST,KOULPELOGO,YARGATENGA,48239,49.22780323
CENTRE-EST,KOULPELOGO,YONDE,31132,68.45046897
CENTRE-EST,KOURITENGA,ANDEMTENGA,58229,77.72415807
CENTRE-EST,KOURITENGA,BASKOURE,13953,98.79595786
CENTRE-EST,KOURITENGA,DIALGAYE,43937,89.38935294
CENTRE-EST,KOURITENGA,GOUNGHIN,40373,89.71342234
CENTRE-EST,KOURITENGA,KANDO,33680,80.18111639
CENTRE-EST,KOURITENGA,KOUPELA,36042,85.486377
CENTRE-EST,KOURITENGA,POUYTENGA,17427,90.73277099
CENTRE-EST,KOURITENGA,TENSOBENTENGA,23709,94.44514741
CENTRE-EST,KOURITENGA,YARGO,17342,96.29800484
CENTRE-NORD,BAM,BOURZANGA,58798,57.12609272
CENTRE-NORD,BAM,GUIBARE,28886,76.04029634
CENTRE-NORD,BAM,KONGOUSSI,57848,82.7928364
CENTRE-NORD,BAM,NASSERE,12799,77.39667161
CENTRE-NORD,BAM,ROLLO,33544,71.68196995
CENTRE-NORD,BAM,ROUKO,16776,85.72365284
CENTRE-NORD,BAM,SABCE,28452,74.86292704
CENTRE-NORD,BAM,TIKARE,43947,90.01297017
CENTRE-NORD,BAM,ZIMTENGA,28441,80.94652087
CENTRE-NORD,NAMENTENGA,BOALA,30773,82.24742469
CENTRE-NORD,NAMENTENGA,BOULSA,78868,68.6374702
CENTRE-NORD,NAMENTENGA,BOUROUM,56927,57.29091644
CENTRE-NORD,NAMENTENGA,DARGO,36049,67.54417598
CENTRE-NORD,NAMENTENGA,NAGBINGOU,19709,65.06164696
CENTRE-NORD,NAMENTENGA,TOUGOURI,94619,65.72569991
CENTRE-NORD,NAMENTENGA,YALGO,38963,55.93511793
CENTRE-NORD,NAMENTENGA,ZEGUEDEGUIN,26971,81.83975381
CENTRE-NORD,SANMATENGA,BARSALOGHO,97204,64.80597506
CENTRE-NORD,SANMATENGA,BOUSSOUMA KAYA,101725,74.83017941
CENTRE-NORD,SANMATENGA,DABLO,25497,72.11828843
CENTRE-NORD,SANMATENGA,KAYA,77268,81.12025677
CENTRE-NORD,SANMATENGA,KORSIMORO,54849,72.45893271
CENTRE-NORD,SANMATENGA,MANE,57239,74.67111585
CENTRE-NORD,SANMATENGA,NAMISSIGUIMA,12009,69.12315763
CENTRE-NORD,SANMATENGA,PENSA,44515,66.45175783
CENTRE-NORD,SANMATENGA,PIBAORE,35278,71.80395714
CENTRE-NORD,SANMATENGA,PISSILA,121260,65.29440871
CENTRE-NORD,SANMATENGA,ZIGA,41028,71.31958662
CENTRE-SUD,BAZEGA,DOULOUGOU,34097,92.6826407
CENTRE-SUD,BAZEGA,GAONGO,33209,57.17727122
CENTRE-SUD,BAZEGA,IPELCE,16893,96.28248387
CENTRE-SUD,BAZEGA,KAYAO,44185,81.52993097
CENTRE-SUD,BAZEGA,KOMBISSIRI,57987,86.19863073
CENTRE-SUD,BAZEGA,SAPONE,50335,93.99622529
CENTRE-SUD,BAZEGA,TOECE,43325,92.56318523
CENTRE-SUD,NAHOURI,GUIARO,25203,70.13847558
CENTRE-SUD,NAHOURI,PO,34911,82.08301109
CENTRE-SUD,NAHOURI,TIEBELE,56634,82.57936928
CENTRE-SUD,NAHOURI,ZECCO,11989,93.48569522
CENTRE-SUD,NAHOURI,ZIOU,28625,81.86899563
CENTRE-SUD,ZOUNDWEOGO,BERE,37435,70.20168292
CENTRE-SUD,ZOUNDWEOGO,BINDE,47548,82.38201396
CENTRE-SUD,ZOUNDWEOGO,GOGO,49770,75.83684951
CENTRE-SUD,ZOUNDWEOGO,GOMBOUSSOUGOU,60463,79.30304484
CENTRE-SUD,ZOUNDWEOGO,GUIBA,39280,92.19959267
CENTRE-SUD,ZOUNDWEOGO,MANGA,16153,95.20832044
CENTRE-SUD,ZOUNDWEOGO,NOBÉRÉ,42811,87.75781925
PLATEAU CENTRAL,GANZOURGOU,BOUDRY,88711,71.11068526
PLATEAU CENTRAL,GANZOURGOU,KOGHO,17575,82.6401138
PLATEAU CENTRAL,GANZOURGOU,MEGUET,37750,86.95099338
PLATEAU CENTRAL,GANZOURGOU,MOGTEDO,53508,57.55587949
PLATEAU CENTRAL,GANZOURGOU,SALOGO,23368,82.24495036
PLATEAU CENTRAL,GANZOURGOU,ZAM,44525,77.58787198
PLATEAU CENTRAL,GANZOURGOU,ZORGHO,30644,92.10285863
PLATEAU CENTRAL,GANZOURGOU,ZOUNGOU,33173,79.67925723
PLATEAU CENTRAL,KOURWEOGO,BOUSSE,30463,81.69254505
PLATEAU CENTRAL,KOURWEOGO,LAYE,13656,98.26449912
PLATEAU CENTRAL,KOURWEOGO,NIOU,29924,89.98796952
PLATEAU CENTRAL,KOURWEOGO,SOURGOUBILA,43269,70.48464258
PLATEAU CENTRAL,KOURWEOGO,TOEGHIN,18298,83.71406711
PLATEAU CENTRAL,OUBRITENGA,ABSOUYA,29191,82.04583605
PLATEAU CENTRAL,OUBRITENGA,DAPELOGO,39732,78.46823719
PLATEAU CENTRAL,OUBRITENGA,LOUMBILA,30957,79.67180282
PLATEAU CENTRAL,OUBRITENGA,NAGREONGO,25846,86.0403931
PLATEAU CENTRAL,OUBRITENGA,OURGOU-MANEGA,22714,90.05899445
PLATEAU CENTRAL,OUBRITENGA,ZINIARÉ,47560,81.85660219
PLATEAU CENTRAL,OUBRITENGA,ZITENGA,45991,86.50605553
SAHEL,OUDALAN,DEOU,32522,41.15060574
SAHEL,OUDALAN,GOROM-GOROM,124524,46.99816903
SAHEL,OUDALAN,MARKOYE,35291,48.94165651
SAHEL,OUDALAN,OURSI,20307,40.82828581
SAHEL,OUDALAN,TIN-AKOFF,26983,23.7927584
SAHEL,SENO,BANI,75091,61.20174189
SAHEL,SENO,DORI,110115,63.11855787
SAHEL,SENO,FALAGOUNTOU,23355,66.36694498
SAHEL,SENO,GORGADJI,38421,35.2853908
SAHEL,SENO,SAMPELGA,24700,72.95951417
SAHEL,SENO,SEYTENGA,40572,52.78270729
SAHEL,SOUM,ARBINDA,104337,41.24902959
SAHEL,SOUM,BARABOULE,37664,54.52952421
SAHEL,SOUM,DIGUEL,11546,63.75368093
SAHEL,SOUM,DJIBO,39754,57.91366906
SAHEL,SOUM,KELBO,31021,67.58002643
SAHEL,SOUM,KOUTOUGOU,23960,36.96577629
SAHEL,SOUM,NASSOUMBOU,25898,56.47926481
SAHEL,SOUM,POBE-MENGAO,30695,59.87620134
SAHEL,SOUM,TONGOMAYEL,90396,39.70197796
SAHEL,YAGHA,BOUNDORE,29254,67.7890203
SAHEL,YAGHA,MANSILA,54983,73.97922994
SAHEL,YAGHA,SEBBA,33997,71.29452599
SAHEL,YAGHA,SOLHAN,32249,60.59722782
SAHEL,YAGHA,TANKOUGOUNADIE,20653,73.20486128
SAHEL,YAGHA,TITABE,26507,65.20919003
